,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2013,Visibility Score 2012,Visibility Score 2011,Average Sentiment Score 2013,Average Sentiment Score 2012,Average Sentiment Score 2011,Positive Mentions 2013,Positive Mentions 2012,Positive Mentions 2011,Negative Mentions 2013,Negative Mentions 2012,Negative Mentions 2011,Entertainment Score 2011,Entertainment Score 2012,Entertainment Score 2013
88,DH Yagnik,Rajasthan Royals,1,22,166.0,136.0,23.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,0,0,0,0,0,18.44,122.06,,,Dishant Yagnik,22,6,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,DJ Bravo,Chennai Super Kings,0,42,503.0,389.0,32.0,24.0,17.0,884.0,1136.0,60.0,66.0,1.0,23.0,0.0,4.0,0,0,6,0,1,29.59,129.31,18.93,7.71,DJ Bravo,10,7,1983,31,Experienced,0.010482180293501,0.0035211267605633,0.0036363636363636,-0.1755555555555555,0.0,0.25,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
90,DJ Harris,Deccan Chargers,0,6,111.0,103.0,11.0,5.0,3.0,18.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,37.0,107.77,,8.67,Daniel Harris,31,12,1979,35,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,DJ Hussey,Kings XI Punjab,0,36,695.0,588.0,51.0,26.0,29.0,141.0,198.0,4.0,9.0,0.0,14.0,0.0,3.0,2,0,0,0,0,23.97,118.2,49.5,8.43,David Hussey,15,7,1977,37,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,DJ Jacobs,Mumbai Indians,0,7,92.0,101.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0,0,0,0,0,13.14,91.09,,,Davy Jacobs,11,4,1982,32,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,DJG Sammy,Sunrisers Hyderabad,0,10,174.0,136.0,11.0,10.0,6.0,138.0,169.0,11.0,6.0,0.0,3.0,0.0,0.0,1,0,1,1,0,29.0,127.94,15.36,7.35,Daren Sammy,20,12,1983,31,Experienced,0.0020964360587002,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,DL Vettori,Royal Challengers Bengaluru,0,22,54.0,58.0,4.0,2.0,4.0,524.0,556.0,19.0,13.0,0.0,7.0,0.0,0.0,0,0,1,0,0,13.5,93.1,29.26,6.37,Daniel Vettori,27,1,1979,35,Experienced,0.0,0.0,0.0036363636363636,0.0,0.0,0.0568131868131868,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,DP Nannes,Chennai Super Kings,0,5,0.0,0.0,0.0,0.0,0.0,126.0,165.0,5.0,19.0,0.0,3.0,0.0,0.0,0,0,1,0,0,,,33.0,7.86,Dirk Nannes,16,5,1976,38,Veteran,0.0041928721174004,0.0,0.0,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,DP Nannes,Royal Challengers Bengaluru,0,2,0.0,0.0,0.0,0.0,0.0,25.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,,,15.5,7.44,Dirk Nannes,16,5,1976,38,Veteran,0.0041928721174004,0.0,0.0,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,DPMD Jayawardene,Delhi Daredevils,0,31,666.0,628.0,78.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,5,0,0,0,0,27.75,106.05,,,Mahela Jayawardene,27,5,1977,37,Veteran,0.0,0.0,0.0036363636363636,0.0,0.0,0.525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
